,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,n_words,vader_sentiment,rel_char_len
7738,5857519,"Large Room, Hamilton Heights Section of Manhattan",27378293,Lendy,Manhattan,Harlem,40.82862,-73.94706,Private room,86,1,8,2018-08-11,0.17,3,325,8,0.0,0.98
46644,35355147,Charming 3BR Apt in Downtown Manhattan,264842412,Ysabel,Manhattan,Financial District,40.70757,-74.01386,Entire home/apt,321,3,4,2019-06-30,4.0,1,65,6,0.5859,0.76
32590,25550429,"NEW Listing! Sunny, spacious, Park Slope apt.",17714108,Ali & Guillaume,Brooklyn,Park Slope,40.67787,-73.98169,Entire home/apt,129,5,8,2019-05-25,0.61,1,0,11,0.4753,0.9
2048,918239,Cozy bedroom in Artist Loft,4930847,Rachel,Brooklyn,Williamsburg,40.70159,-73.94346,Private room,56,1,103,2019-06-10,1.6,1,65,5,0.0,0.54
10802,8319488,Spacious park slope 2 bedroom,43126563,Andrew,Brooklyn,Park Slope,40.67173,-73.98303,Entire home/apt,300,3,70,2019-06-30,1.51,1,338,5,0.0,0.58
34895,27663483,Lux Apartment across Hudson River - city view,77829151,Cal,Manhattan,Hell's Kitchen,40.76164,-73.99804,Entire home/apt,239,4,2,2019-01-02,0.21,1,0,8,0.0,0.9
30504,23609407,Very small room near CUMC,176591085,Mike,Manhattan,Washington Heights,40.84389,-73.94127,Private room,45,1,1,2018-05-06,0.07,4,90,5,0.0,0.5
38178,30125523,Excellent studio in Midtown Manhattan,120762452,Stanley,Manhattan,Murray Hill,40.74957,-73.97683,Entire home/apt,111,30,1,2019-06-13,1.0,50,332,5,0.5719,0.74
7207,5271997,NEW YORK CITY!!! LOCATION LOCATION!,6716330,Chris,Manhattan,Upper West Side,40.77311,-73.98606,Private room,125,3,124,2019-06-24,2.32,3,347,9,0.0,0.7
38135,30101954,Spacious bright bedroom in modern apartment,57755572,Georgia,Brooklyn,Greenpoint,40.73008,-73.96062,Private room,70,2,2,2019-01-05,0.27,1,0,6,0.4404,0.86
20591,16365302,Bond Street 2 bedroom 2 bath great Noho location,24074171,Donna,Manhattan,NoHo,40.72501,-73.99323,Entire home/apt,400,2,26,2019-04-12,0.9,1,10,9,0.6249,0.96
17707,13902725,There's a reason this room has a 5-star rating.,6034354,Leigh,Manhattan,Hell's Kitchen,40.75913,-73.98991,Private room,195,1,41,2019-05-23,1.19,1,170,11,0.0,0.94
30319,23435916,"Lovely, Modern Apartment in Park Slope, Brooklyn",174780742,David,Brooklyn,South Slope,40.66022,-73.98581,Entire home/apt,150,2,13,2019-06-02,0.94,1,282,9,0.5859,0.96
29844,22971238,"Suite 18 - Private Room, Close to Coney Island",99296570,Daisy,Brooklyn,Brighton Beach,40.58012,-73.95896,Private room,35,1,77,2019-06-18,4.67,5,187,10,0.0,0.92
28842,22258450,Gorgeous Queen Luxury Bedroom near J subway,5680111,Timothy,Brooklyn,Bushwick,40.68608,-73.91534,Private room,72,5,23,2019-05-26,1.21,7,112,7,0.6124,0.86
28271,21987828,Sunny Private Room in 3-Bedroom Apt.,14535843,Luna,Brooklyn,Flatbush,40.64215,-73.95685,Private room,38,4,1,2018-01-01,0.05,1,0,7,0.4215,0.72
30587,23668735,Deluxe Apartment view Broadway #5,177174475,Alberto,Manhattan,Midtown,40.74731,-73.98821,Entire home/apt,163,1,11,2019-05-19,1.42,17,221,6,0.0,0.66
17865,13997894,1 bedroom full apartment completely private!,83616984,Horacio,Queens,Corona,40.74598,-73.85683,Entire home/apt,85,7,60,2019-06-30,1.65,1,284,7,0.0,0.88
40817,31705298,Cozy and Quiet City Escape,3072696,Amy,Manhattan,Harlem,40.81369,-73.94996,Private room,100,1,6,2019-05-11,1.58,1,125,5,0.1779,0.52
15389,12338559,In the heart of Williamsburg!,26414016,Guillermo,Brooklyn,Williamsburg,40.71806,-73.95775,Private room,73,1,4,2016-10-02,0.11,2,0,6,0.0,0.58
6392,4656361,"Large, Cozy One Bedroom Apartment",8291260,Elizabeth,Manhattan,Washington Heights,40.85171,-73.92894,Entire home/apt,80,3,31,2019-06-29,0.56,1,68,6,0.0,0.66
6549,4747068,Lovely Studio next to Park/Subway,24500940,Jesse,Brooklyn,Windsor Terrace,40.65131,-73.97405,Entire home/apt,100,5,24,2017-05-08,0.44,1,0,5,0.5859,0.66
32187,25167654,Charming sunny Bushwick bedroom,3667601,Olivier,Brooklyn,Bushwick,40.68942,-73.90918,Private room,78,2,51,2019-06-29,3.74,1,9,4,0.765,0.62
46330,35197107,***Entire Apartment 5 mins to JFK***,265043054,Lovlee,Queens,Jamaica,40.67289,-73.76699,Entire home/apt,100,1,4,2019-07-01,4.0,1,78,12,0.0,0.72
3129,1859901,Prime East Village Spacious 1 BED,9702964,Amanda,Manhattan,East Village,40.72394,-73.98941,Entire home/apt,150,4,43,2018-12-30,0.68,1,188,6,0.0,0.66
6267,4578471,CHARMING 1-BD w CITY VIEWS,4263114,LeeAnne,Manhattan,Hell's Kitchen,40.76612,-73.99324,Entire home/apt,125,5,5,2015-08-24,0.09,1,0,5,0.5859,0.52
45971,35008790,Luxurious 3 BEDROOM IN THE HEART OF TimeSqaure,263744321,Marcela,Manhattan,Hell's Kitchen,40.76275,-73.99271,Entire home/apt,428,3,1,2019-07-01,1.0,1,244,8,0.0,0.92
41358,32214481,Elegant Studio-Loft in Flatiron / NoMad,117717201,Matthew,Manhattan,Midtown,40.74338,-73.98557,Entire home/apt,210,4,3,2019-05-23,1.29,1,156,6,0.4767,0.78
18318,14369923,"Bright, Welcoming 2 Bedroom Apt in Clinton Hill",24897395,Laura,Brooklyn,Bedford-Stuyvesant,40.68844,-73.95442,Entire home/apt,111,2,2,2017-07-05,0.08,1,0,9,0.7003,0.94
42635,33096564,Tu Tranquilidad no tiene precio,182434290,Ana Maria,Queens,Ditmars Steinway,40.77134,-73.91328,Private room,52,1,5,2019-05-23,1.6,2,188,5,-0.296,0.62
6697,4815028,affordable and convenient Manhattan studio,24797535,Leslie,Manhattan,Upper West Side,40.80123,-73.96248,Entire home/apt,129,10,29,2019-07-02,0.54,1,0,5,0.0,0.84
10848,8365647,1 Bedroom/1 Bathroom in Riverdale (close to HIR),10024006,Long,Bronx,Riverdale,40.88837,-73.90939,Private room,65,1,202,2019-05-18,4.35,1,0,10,0.0,0.96
41718,32441129,Beautiful - Art Filled - Sun Filled - Luxurious,1403333,Brett,Manhattan,NoHo,40.72612,-73.99494,Entire home/apt,325,2,5,2019-05-27,1.24,1,31,9,0.5994,0.94
24281,19553306,Modern 2 Bedroom in Heart of Williamsburg,6405437,Joe,Brooklyn,Williamsburg,40.71201,-73.96144,Entire home/apt,400,2,6,2018-10-21,0.25,1,0,7,0.0,0.82
15552,12508552,"Convenient Room, at the Center of Manhattan Living",7475578,MaTT,Manhattan,Little Italy,40.71941,-73.99706,Private room,85,5,26,2019-05-06,0.67,2,160,9,0.0,1.0
16543,13249656,renovated one bedroom in our beautiful townhouse,1996771,Arturo,Brooklyn,Bedford-Stuyvesant,40.68063,-73.95015,Entire home/apt,140,3,122,2019-06-25,3.26,1,275,7,0.5994,0.96
14565,11486601,Beautiful Spacious Loft near subway and train,4964682,Luis And Oriana,Manhattan,Marble Hill,40.87665,-73.90855,Entire home/apt,131,3,43,2019-06-15,1.18,1,317,7,0.5994,0.9
18624,14723697,"3-Bedroom Apartment, 10 Minutes from Manhattan",864735,Jason,Queens,Astoria,40.75539,-73.91709,Entire home/apt,117,30,7,2019-04-04,0.23,8,241,7,0.0,0.92
44912,34470862,Beautiful brand new studio/1BR,75566080,Bar,Brooklyn,Williamsburg,40.71645,-73.95194,Entire home/apt,175,4,2,2019-06-24,2.0,1,71,4,0.5994,0.6
801,286662,Charming Brooklyn Studio,1491538,Erika,Brooklyn,Crown Heights,40.67106,-73.95463,Entire home/apt,110,3,238,2019-07-02,2.6,1,297,3,0.5859,0.48
37073,29480209,New Brooklyn&Breakfast listing! 2nd fl Budget Room,344035,Brooklyn&   Breakfast    -Len-,Brooklyn,Prospect Heights,40.67929,-73.97097,Private room,55,1,39,2019-07-01,4.55,13,315,10,0.0,1.0
21531,17237486,Bright & Spacious Chelsea Studio,13238971,Adel,Manhattan,Chelsea,40.74281,-73.99969,Entire home/apt,175,4,5,2018-06-21,0.23,1,8,5,0.4404,0.64
33322,26329644,Spacious Private Bedroom in Financial District,25107874,Emil,Manhattan,Financial District,40.70989,-74.00813,Private room,85,3,4,2019-06-21,0.33,1,72,6,0.0,0.92
18538,14616377,Perfect Location 2bd w Bklyn Charm,83523066,Jim,Brooklyn,Park Slope,40.68082,-73.97713,Entire home/apt,170,3,120,2019-06-11,3.51,2,96,6,0.7506,0.68
592,224006,Harlem/Manhattan Classic Apartment,1165231,Deirdre,Manhattan,Harlem,40.80307,-73.95048,Private room,300,55,6,2015-01-02,0.08,2,83,3,0.0,0.68
18853,14963404,Bright cozy room with balcony near Prospect Park.,7848317,Gracelyn,Brooklyn,Windsor Terrace,40.65949,-73.98422,Private room,90,2,3,2017-10-21,0.11,2,0,9,0.6249,0.98
45584,34840495,Newly Renovated 5 Bed 2 Bath Spacious Apartment.,262657892,Philip,Brooklyn,Crown Heights,40.66473,-73.93134,Entire home/apt,475,3,2,2019-06-30,2.0,3,219,9,0.0,0.96
2428,1209887,East Village Bright & Spacious Artist Loft,2910509,Tamar,Manhattan,East Village,40.72434,-73.97715,Entire home/apt,120,29,10,2019-01-18,0.17,1,3,7,0.4404,0.84
23431,18970683,Bushwick Cozy Room,131476075,Lakisha,Brooklyn,Bushwick,40.68756,-73.91326,Private room,50,1,31,2019-07-01,1.24,8,179,3,0.0,0.36
46610,35344126,Newly Renovated Apartment 47 Buffalo 3F Room#4,264732469,Longfang,Brooklyn,Bedford-Stuyvesant,40.67838,-73.92349,Private room,60,1,3,2019-06-24,3.0,2,176,9,0.0,0.92
24469,19695276,Beautiful Boerum Hill Apartment,373060,Tamera,Brooklyn,Boerum Hill,40.68591,-73.9863,Entire home/apt,275,2,2,2017-11-12,0.09,1,0,4,0.5994,0.62
24943,19984134,Beautifully Decorated 1 Bedroom w/ Large Terrace,5962328,Alan,Queens,Flushing,40.76112,-73.82327,Entire home/apt,140,30,3,2018-08-11,0.14,15,244,7,0.5719,0.96
15847,12814991,"NYC Sanctuary, Skyline Views & Rooftop",34034047,Cory,Queens,Ditmars Steinway,40.77423,-73.90715,Entire home/apt,130,3,17,2019-07-07,0.45,1,11,7,0.0,0.76
11293,8760775,Lexington Avenue Luxury Condominium,45941254,Tianyou,Manhattan,Murray Hill,40.7494,-73.97823,Private room,111,1,4,2015-10-30,0.09,1,0,4,0.0,0.7
40101,31123021,Designer Artist Loft in Williamsburg,755603,Laura,Brooklyn,Williamsburg,40.70904,-73.94574,Entire home/apt,150,2,4,2019-06-16,0.63,1,0,5,0.0,0.72
25174,20165947,Bright & Spacious Artist loft in BK!,17290200,Martina,Brooklyn,Williamsburg,40.70503,-73.93699,Private room,50,7,1,2017-08-28,0.04,1,0,8,0.4926,0.72
33519,26518547,U2 comfortable double bed sleeps 2 guests,295128,Carol Gloria,Bronx,Clason Point,40.81225,-73.85502,Private room,80,1,4,2019-07-01,1.48,7,365,7,0.5106,0.82
23979,19339594,Charming Newly Renovated Brownstone,134808051,Jaime And Stephen,Brooklyn,Crown Heights,40.6746,-73.94652,Private room,80,1,5,2018-09-19,0.22,1,365,4,0.5859,0.7
12456,9590519,Fun Spacious Midtown Apt near U.N. & Central Park,49383811,Christian,Manhattan,Midtown,40.75435,-73.96729,Entire home/apt,150,1,142,2019-06-25,3.52,1,58,9,0.5106,0.98
27908,21845154,Warm and cosy apartment in the heart of New York,4495261,Julien,Manhattan,East Village,40.72631,-73.98507,Entire home/apt,180,7,2,2018-09-09,0.11,1,0,10,0.2263,0.96
35057,27788826,Upper East Side 2 Room Studio Retreat,11376647,Nicholas,Manhattan,Upper East Side,40.76856,-73.95367,Entire home/apt,150,10,3,2018-09-16,0.29,1,17,7,0.2023,0.74
42679,33133219,Spacious studio on quiet tree lined street,109448921,Mark,Brooklyn,Prospect-Lefferts Gardens,40.66379,-73.95239,Entire home/apt,75,2,12,2019-07-06,3.56,1,8,7,0.0,0.84
