,Unnamed: 0,host_id,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,n_words,vader_sentiment,rel_char_len
Unnamed: 0,1.0,0.5658305400048489,-0.0027773446299794004,0.09102011728960482,-0.048064530267220316,-0.1649514786445013,-0.3008981715402043,0.35754003763885633,0.09118810414979577,0.06935776238803724,0.1635680382851204,-0.01704415040432456,0.22610490012276657
host_id,0.5658305400048489,1.0,0.04500882537690183,0.1343092126937248,-0.09698800478939656,-0.18334632700831713,-0.11426111478270148,0.25557131298967745,0.12133063386495874,0.12160458989906629,0.08515575715771366,-0.059389774069887,0.0860169204290651
latitude,-0.0027773446299794004,0.04500882537690183,1.0,0.04089156500495787,0.1170946436603826,0.01841469301922386,-0.030826276614874245,-0.027692595529177442,-0.012953183570996753,-0.0227218858756087,0.04790219749465262,-0.04414996848543021,0.019042275288672385
longitude,0.09102011728960482,0.1343092126937248,0.04089156500495787,1.0,-0.42793569757609695,-0.1246696397534802,0.07482484260346081,0.1271823167037357,0.10569343998666723,0.09164232616338334,-0.01034531035513231,-0.03584013477999797,-0.01397035625464508
price,-0.048064530267220316,-0.09698800478939656,0.1170946436603826,-0.42793569757609695,1.0,0.11986833746345812,-0.013853929590196146,-0.019484182740262142,-0.1619534499025434,0.07092631705441965,0.027447161610098098,0.010234258711669431,0.056926026526166566
minimum_nights,-0.1649514786445013,-0.18334632700831713,0.01841469301922386,-0.1246696397534802,0.11986833746345812,1.0,-0.15730047529839436,-0.28578803301267053,-0.004180277083973779,0.01504201061140064,-0.0007925834860097412,0.06124660528891554,0.012576528427224409
number_of_reviews,-0.3008981715402043,-0.11426111478270148,-0.030826276614874245,0.07482484260346081,-0.013853929590196146,-0.15730047529839436,1.0,0.7093153677399742,0.08006331340005245,0.30425815490206704,0.01955774557687964,-0.019822999255403286,0.001015143369402077
reviews_per_month,0.35754003763885633,0.25557131298967745,-0.027692595529177442,0.1271823167037357,-0.019484182740262142,-0.28578803301267053,0.7093153677399742,1.0,0.14400506742645797,0.39704550100790187,0.12135647646922697,-0.03123976975404612,0.13655681058241956
calculated_host_listings_count,0.09118810414979577,0.12133063386495874,-0.012953183570996753,0.10569343998666723,-0.1619534499025434,-0.004180277083973779,0.08006331340005245,0.14400506742645797,1.0,0.3707711089315645,0.10659413480469346,-0.03912222740595695,0.056229059462119764
availability_365,0.06935776238803724,0.12160458989906629,-0.0227218858756087,0.09164232616338334,0.07092631705441965,0.01504201061140064,0.30425815490206704,0.39704550100790187,0.3707711089315645,1.0,0.0603618209785741,-0.031133811708226274,0.037226716740382006
n_words,0.1635680382851204,0.08515575715771366,0.04790219749465262,-0.01034531035513231,0.027447161610098098,-0.0007925834860097412,0.01955774557687964,0.12135647646922697,0.10659413480469346,0.0603618209785741,1.0,0.09084799924934836,0.8055707361705684
vader_sentiment,-0.01704415040432456,-0.059389774069887,-0.04414996848543021,-0.03584013477999797,0.010234258711669431,0.06124660528891554,-0.019822999255403286,-0.03123976975404612,-0.03912222740595695,-0.031133811708226274,0.09084799924934836,1.0,0.11863560967864617
rel_char_len,0.22610490012276657,0.0860169204290651,0.019042275288672385,-0.01397035625464508,0.056926026526166566,0.012576528427224409,0.001015143369402077,0.13655681058241956,0.056229059462119764,0.037226716740382006,0.8055707361705684,0.11863560967864617,1.0
