rank_test_score,mean_train_score,mean_test_score,max_categories,max_features,max_depth,criterion,min_samples_leaf,max_features,ccp_alpha
1,0.3078535871318797,0.2926427512033589,25,140,10,poisson,0.0007913684548720877,0.5,0.0010855680736989047
2,0.2444697712126044,0.24294666208076326,86,153,38,friedman_mse,0.016842829159296836,0.75,0.06782263354435698
3,0.24871206895900871,0.2420852535146417,69,89,15,absolute_error,0.00017743728837162821,0.75,0.0014719455002408142
4,0.26078931936367555,0.2330098883735625,8,71,18,absolute_error,2.4442894571864936e-05,0.5,0.0010796238013745406
5,0.22688113183955308,0.22243528803971416,14,26,24,absolute_error,5.264354567526792e-05,0.5,0.0031562393496784046
6,0.2220699897323028,0.21914546046939987,99,138,17,friedman_mse,0.011587341344488451,0.25,0.023419595259846073
7,0.20972747161363264,0.2095547537045956,9,137,6,poisson,0.005793658783058151,0.75,0.017241472931905817
8,0.20496679213555785,0.20472258459364162,97,164,19,poisson,0.0031688163026456586,0.5,0.026278397048084268
9,0.1806399931529818,0.18038921552081327,19,22,37,absolute_error,0.0005935684478352206,0.75,0.0760772747995041
10,0.15498307974333675,0.14628118518891642,70,47,12,friedman_mse,0.003449602640468891,sqrt,0.004292153019845943
