,feature,weight
0,kbinsdiscretizer-2__availability_365_0.0,0.33545688484699426
1,quantiletransformer__minimum_nights,0.311495310842588
2,quantiletransformer__price,0.06983907710963247
3,quantiletransformer__rel_char_len,0.0397978066442181
4,quantiletransformer__calculated_host_listings_count,0.03632835360877538
5,countvectorizer__lga,0.020773166427833445
6,onehotencoder__room_type_Entire home/apt,0.020234392990791255
7,countvectorizer__jfk,0.01920007261845315
8,quantiletransformer__n_words,0.011121079555141682
9,quantiletransformer__vader_sentiment,0.010259471448605393
10,onehotencoder__neighbourhood_group_Manhattan,0.008144003499431814
11,kbinsdiscretizer-1__longitude_18.0,0.0066654805755918325
12,onehotencoder__neighbourhood_Hell's Kitchen,0.00643283235309853
13,kbinsdiscretizer-2__availability_365_1.0,0.005395882108368201
14,kbinsdiscretizer-1__latitude_14.0,0.0051297104394465495
15,countvectorizer__private,0.004458142996535297
16,kbinsdiscretizer-1__longitude_19.0,0.004070913907454015
17,kbinsdiscretizer-1__latitude_0.0,0.003989762144196006
18,kbinsdiscretizer-1__latitude_15.0,0.0038229560641231397
19,kbinsdiscretizer-2__availability_365_2.0,0.0036531838672557134
20,kbinsdiscretizer-1__longitude_3.0,0.0032881704790700124
21,onehotencoder__room_type_infrequent_sklearn,0.003104508682664025
22,onehotencoder__neighbourhood_group_Queens,0.0027238302334535755
23,onehotencoder__neighbourhood_Bedford-Stuyvesant,0.002605429589307709
24,countvectorizer__apt,0.0025474081443542704
25,kbinsdiscretizer-1__latitude_2.0,0.0024819284019145555
26,countvectorizer__times,0.00244081292184667
27,onehotencoder__neighbourhood_infrequent_sklearn,0.0024187164291088223
28,countvectorizer__spacious,0.0023806986895148785
29,kbinsdiscretizer-1__longitude_17.0,0.0018178644343067871
30,countvectorizer__large,0.0017778085204694033
31,countvectorizer__suite,0.0017557098992994219
32,countvectorizer__central,0.0017022446894746632
33,countvectorizer__garden,0.0015405000170258143
34,countvectorizer__renovated,0.001523843044788597
35,countvectorizer__min,0.0014551564592815832
36,onehotencoder__neighbourhood_group_Brooklyn,0.0013968894148035762
37,countvectorizer__private bedroom,0.001376614939763317
38,countvectorizer__mins,0.001317201518147573
39,onehotencoder__room_type_Private room,0.0012630188850643036
40,countvectorizer__minutes,0.0012424927264151203
41,countvectorizer__loft,0.0012096691591397396
42,countvectorizer__bedroom,0.0011966795811920612
43,countvectorizer__location,0.0011824205999366323
